[ FINE ] 12\07\2019 , 00:40 :  Statement Closed
[ FINE ] 12\07\2019 , 00:40 :  Connection Closed
[ FINER ] 12\07\2019 , 00:40 :  Connection Initiated
[ FINER ] 12\07\2019 , 00:40 :  Statement Created
[ FINE ] 12\07\2019 , 00:40 :  Create|Drop Query executed
[ FINE ] 12\07\2019 , 00:40 :  Create|Drop Query executed
[ FINE ] 12\07\2019 , 00:40 :  Statement Closed
[ FINER ] 12\07\2019 , 00:40 :  Statement Created
[ FINE ] 12\07\2019 , 00:40 :  Update Query executed
[ FINE ] 12\07\2019 , 00:40 :  Update Query executed
[ FINE ] 12\07\2019 , 00:40 :  Update Query executed
[ FINE ] 12\07\2019 , 00:40 :  Statement Closed
[ FINE ] 12\07\2019 , 00:40 :  Connection Closed
[ FINER ] 12\07\2019 , 00:40 :  Connection Initiated
[ FINER ] 12\07\2019 , 00:40 :  Statement Created
[ FINE ] 12\07\2019 , 00:40 :  Create|Drop Query executed
[ FINE ] 12\07\2019 , 00:40 :  Create|Drop Query executed
[ FINE ] 12\07\2019 , 00:40 :  Statement Closed
[ FINER ] 12\07\2019 , 00:40 :  Statement Created
[ FINE ] 12\07\2019 , 00:40 :  Update Query executed
[ FINE ] 12\07\2019 , 00:40 :  Update Query executed
[ FINE ] 12\07\2019 , 00:40 :  Update Query executed
[ FINE ] 12\07\2019 , 00:40 :  Update Query executed
[ FINE ] 12\07\2019 , 00:40 :  Update Query executed
[ FINE ] 12\07\2019 , 00:40 :  Statement Closed
[ FINE ] 12\07\2019 , 00:40 :  Connection Closed
[ FINER ] 12\07\2019 , 00:40 :  Connection Initiated
[ FINER ] 12\07\2019 , 00:40 :  Statement Created
[ FINE ] 12\07\2019 , 00:40 :  Create|Drop Query executed
[ FINE ] 12\07\2019 , 00:40 :  Create|Drop Query executed
[ FINE ] 12\07\2019 , 00:40 :  Statement Closed
[ FINER ] 12\07\2019 , 00:40 :  Statement Created
[ FINE ] 12\07\2019 , 00:40 :  Update Query executed
[ FINE ] 12\07\2019 , 00:40 :  Update Query executed
[ FINE ] 12\07\2019 , 00:40 :  Update Query executed
[ FINE ] 12\07\2019 , 00:40 :  Update Query executed
[ FINE ] 12\07\2019 , 00:40 :  Select Query executed
[ FINE ] 12\07\2019 , 00:40 :  Update Query executed
[ FINE ] 12\07\2019 , 00:40 :  Select Query executed
[ FINE ] 12\07\2019 , 00:40 :  Statement Closed
[ FINE ] 12\07\2019 , 00:40 :  Connection Closed
[ FINER ] 12\07\2019 , 00:40 :  Connection Initiated
[ FINER ] 12\07\2019 , 00:40 :  Statement Created
[ FINE ] 12\07\2019 , 00:40 :  Create|Drop Query executed
[ FINE ] 12\07\2019 , 00:40 :  Create|Drop Query executed
[ FINE ] 12\07\2019 , 00:40 :  Statement Closed
[ FINER ] 12\07\2019 , 00:40 :  Statement Created
[ FINE ] 12\07\2019 , 00:40 :  Statement Closed
[ FINER ] 12\07\2019 , 00:40 :  Statement Created
[ FINER ] 12\07\2019 , 00:40 :  Statement Created
[ FINER ] 12\07\2019 , 00:40 :  Statement Created
[ FINE ] 12\07\2019 , 00:40 :  Update Query executed
[ SEVERE ] 12\07\2019 , 00:40 :  Update Query Failed!
[ FINER ] 12\07\2019 , 00:40 :  Statement Created
[ FINE ] 12\07\2019 , 00:40 :  Update Query executed
[ SEVERE ] 12\07\2019 , 00:40 :  Update Query Failed!
[ FINER ] 12\07\2019 , 00:40 :  Statement Created
[ SEVERE ] 12\07\2019 , 00:40 :  Update Query Failed!
[ FINER ] 12\07\2019 , 00:40 :  Statement Created
[ FINER ] 12\07\2019 , 00:40 :  Statement Created
[ FINE ] 12\07\2019 , 00:40 :  Connection Closed
[ FINER ] 12\07\2019 , 00:40 :  Connection Initiated
[ FINER ] 12\07\2019 , 00:40 :  Statement Created
[ FINE ] 12\07\2019 , 00:40 :  Create|Drop Query executed
[ FINE ] 12\07\2019 , 00:40 :  Create|Drop Query executed
[ FINE ] 12\07\2019 , 00:40 :  Statement Closed
[ FINER ] 12\07\2019 , 00:40 :  Statement Created
[ FINE ] 12\07\2019 , 00:40 :  Update Query executed
[ FINE ] 12\07\2019 , 00:40 :  Update Query executed
[ FINE ] 12\07\2019 , 00:40 :  Update Query executed
[ FINE ] 12\07\2019 , 00:40 :  Update Query executed
